Date,Opening Price($),Closing Price($),Highest Price($),Lowest Price($),Trade Volume
06-11-2021,126.53,127.35,127.44,126.10,53522370
06-14-2021,127.82,130.48,130.54,127.07,96906490
06-15-2021,129.94,129.64,130.60,129.39,62746330
06-16-2021,130.37,130.15,130.89,128.46,91815030
06-17-2021,129.80,131.79,132.55,129.65,96721670
06-18-2021,130.71,130.46,131.51,130.24,108953300
06-21-2021,130.30,132.30,132.41,129.21,79663320
06-22-2021,132.13,133.98,134.08,131.62,74783620
06-23-2021,133.77,133.70,134.32,133.23,60214200
06-24-2021,134.45,133.41,134.64,132.93,68711000
06-25-2021,133.46,133.11,133.89,132.81,70783750
06-28-2021,133.41,134.78,135.25,133.35,62111300
06-29-2021,134.80,136.33,136.49,134.35,64556080
06-30-2021,136.17,136.96,137.41,135.87,63261390
07-01-2021,136.60,137.27,137.33,135.76,52485780
07-02-2021,137.90,139.96,140.00,137.75,78945570
07-06-2021,140.07,142.02,143.15,140.07,108181800
07-07-2021,143.54,144.57,144.89,142.66,104911600
07-08-2021,141.58,143.24,144.06,140.67,105575500
07-09-2021,142.75,145.11,145.65,142.65,99890800
07-12-2021,146.21,144.50,146.32,144.00,76299720
07-13-2021,144.03,145.64,147.46,143.63,100827100
07-14-2021,148.10,149.15,149.57,147.68,127050800
07-15-2021,149.24,148.48,150.00,147.09,106820300
07-16-2021,148.46,146.39,149.76,145.88,93251430
07-19-2021,143.75,142.45,144.07,141.67,121434600
07-20-2021,143.46,146.15,147.10,142.96,96350040
07-21-2021,145.53,145.40,146.13,144.63,74993460
07-22-2021,145.94,146.80,148.20,145.81,77338160
07-23-2021,147.55,148.56,148.72,146.92,71447420
07-26-2021,148.27,148.99,149.83,147.70,72434090
07-27-2021,149.12,146.77,149.21,145.55,104818600
07-28-2021,144.81,144.98,146.97,142.54,118931200
07-29-2021,144.69,145.64,146.55,144.58,56699480
07-30-2021,144.38,145.86,146.33,144.11,70440630
08-02-2021,146.36,145.52,146.95,145.25,62879960
08-03-2021,145.81,147.36,148.05,145.18,64786620
08-04-2021,147.27,146.95,147.79,146.28,56368270
08-05-2021,146.98,147.06,147.84,146.17,46397670
08-06-2021,146.35,146.14,147.11,145.63,54126810
08-09-2021,146.20,146.09,146.70,145.52,48908690
08-10-2021,146.44,145.60,147.71,145.30,69023080
08-11-2021,146.05,145.86,146.72,145.53,48493460
08-12-2021,146.19,148.89,149.05,145.84,73779110
08-13-2021,148.97,149.10,149.44,148.27,59375010
08-16-2021,148.54,151.12,151.19,146.47,103558800
08-17-2021,150.23,150.19,151.68,149.09,92229740
08-18-2021,149.80,146.36,150.72,146.15,86325990
08-19-2021,145.03,146.70,148.00,144.50,86960310
08-20-2021,147.44,148.19,148.50,146.78,60549630
08-23-2021,148.31,149.71,150.19,147.89,60131810
08-24-2021,149.45,149.62,150.86,149.15,48606430
08-25-2021,149.81,148.36,150.32,147.80,58991300
08-26-2021,148.35,147.54,149.12,147.51,48597200
08-27-2021,147.48,148.60,148.75,146.83,55802390
