Date,Opening Price($),Closing Price($),Highest Price($),Lowest Price($),Trade Volume
08-31-2021,304.42,301.88,304.50,301.50,26285340
09-01-2021,302.87,301.83,305.19,301.49,18983830
09-02-2021,302.20,301.15,303.36,300.18,16290550
09-03-2021,300.99,301.14,302.60,300.26,14751610
09-07-2021,301.01,300.18,301.09,298.20,17184080
09-08-2021,299.78,300.21,300.61,297.47,15046820
09-09-2021,300.82,297.25,302.14,297.00,19927000
09-10-2021,298.42,295.71,299.92,295.38,19633360
09-13-2021,297.55,296.99,298.54,294.08,23652950
09-14-2021,299.56,299.79,301.39,298.10,21853430
09-15-2021,303.26,304.82,305.32,301.82,28356300
09-16-2021,303.76,305.22,305.31,300.76,19550820
09-17-2021,304.17,299.87,304.50,299.53,41372460
09-20-2021,296.33,294.30,298.72,289.52,38278660
09-21-2021,295.69,294.80,297.54,294.07,22364100
09-22-2021,296.73,298.58,300.22,294.51,26626340
09-23-2021,298.85,299.56,300.90,297.53,18604600
09-24-2021,298.23,299.35,299.80,296.93,14998980
09-27-2021,296.14,294.17,296.47,292.94,23571740
09-28-2021,289.80,283.52,290.78,282.75,43186240
09-29-2021,285.10,284.00,286.77,283.01,26353700
09-30-2021,285.71,281.92,287.83,281.62,32343640
10-01-2021,282.12,289.10,289.98,281.29,30086280
10-04-2021,287.40,283.11,287.75,280.25,31350750
10-05-2021,284.05,288.76,290.40,284.05,24993020
10-06-2021,285.78,293.11,293.63,285.51,28002560
10-07-2021,295.18,294.85,296.64,293.92,20430470
10-08-2021,296.22,294.85,296.64,293.76,17685700
10-11-2021,292.92,294.23,297.97,292.75,19298630
10-12-2021,295.34,292.88,295.44,292.35,17974140
10-13-2021,294.91,296.31,297.28,293.49,23424030
10-14-2021,299.21,302.75,303.27,297.83,27262900
10-15-2021,302.34,304.21,304.45,300.52,25384800
10-18-2021,303.57,307.29,308.21,302.69,22729300
10-19-2021,308.35,308.23,309.30,307.22,17682140
10-20-2021,309.21,307.41,309.70,306.11,16537070
10-21-2021,307.17,310.76,311.02,306.36,16918100
10-22-2021,310.40,309.16,311.09,307.80,17449330
10-25-2021,309.36,308.13,309.40,306.46,17554470
10-26-2021,311.00,310.11,312.40,308.60,28107350
10-27-2021,316.00,323.17,326.10,316.00,52588690
10-28-2021,324.33,324.35,324.87,321.36,26297940
10-29-2021,324.13,331.62,332.00,323.90,34765980
11-01-2021,331.36,329.37,331.49,326.37,27073180
11-02-2021,330.31,333.13,333.45,330.00,26487110
11-03-2021,333.90,334.00,334.90,330.65,21500080
11-04-2021,332.89,336.44,336.54,329.51,23992200
11-05-2021,338.51,336.06,338.79,334.42,22570100
11-08-2021,337.30,336.99,337.65,334.44,20897000
11-09-2021,337.11,335.95,338.72,334.53,21307370
11-10-2021,334.57,330.80,334.63,329.92,25500940
11-11-2021,331.25,332.43,333.77,330.51,16849840
11-12-2021,333.92,336.72,337.23,333.79,23831050
11-15-2021,337.54,336.07,337.88,334.03,16723010
11-16-2021,335.68,339.51,340.67,335.51,20886830
11-17-2021,338.94,339.12,342.19,338.00,19053380
11-18-2021,338.18,341.27,342.45,337.12,22463530
11-19-2021,342.64,343.11,345.10,342.20,21963400
